1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
13 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
14 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
15 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
16 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
17 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
18 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
19 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
21 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
22 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
23 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
24 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
25 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
26 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
27 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
28 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
29 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
30 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
31 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
32 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
33 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
34 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
35 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
36 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
37 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
38 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
40 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
41 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
42 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
43 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
44 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
45 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
46 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
47 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
48 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
49 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
50 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
51 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
52 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
54 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
55 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
56 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
57 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
58 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
59 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
60 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
61 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
62 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
63 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
66 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
67 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
68 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
69 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
70 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
71 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
73 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
74 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
77 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
79 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
